date,OT,AC,GR,DEN,TNPH,AMH10,AMH20,AMH30,AMH60,AMH60,VS
3223,8881.365,2.091,69.381,-0.305,112.595,13.109,13.238,12.343,11.797,11.601,4818.812
3223.125,8806.383,2.118,67.554,-0.247,113.554,10.84,10.225,9.735,9.42,9.299,4785.979
3223.25,8733.792,2.137,67.458,-0.197,114.498,13.021,12.092,11.508,11.137,10.965,4796.122
3223.375,8725.105,2.157,67.116,-0.158,114.612,14.291,13.526,12.863,12.45,12.234,4821.503
3223.5,8710.239,2.16,61.189,-0.141,114.807,15.86,15.934,15.137,14.652,14.337,4865.607
3223.625,8710.239,2.16,61.189,-0.141,114.807,20.558,21.22,19.961,19.246,18.648,4865.607
3224.75,9369.13,2.25,77.116,-0.109,106.733,5.029,4.779,4.624,4.606,4.539,5529.619
3224.875,9198.963,2.281,86.797,-0.009,108.708,4.878,4.617,4.434,4.403,4.327,5435.843
3225,9198.963,2.281,86.797,-0.009,108.708,4.495,4.235,4.065,4.032,3.952,5435.843
3225.125,9093.356,2.296,90.444,0.047,109.97,3.987,3.734,3.599,3.57,3.49,5234.5
3225.25,9041.239,2.302,89.088,0.054,110.604,3.607,3.357,3.241,3.215,3.122,5091.667
3225.375,9072.771,2.281,87.283,0,110.22,4.012,3.79,3.637,3.601,3.474,5008.67
3225.5,9040.61,2.265,82.715,-0.017,110.612,4.008,3.958,3.785,3.74,3.595,4913.781
3225.625,9109.642,2.258,78.757,-0.014,109.774,3.991,3.99,3.811,3.762,3.608,4870.441
3225.75,9109.642,2.258,78.757,-0.014,109.774,3.989,3.851,3.684,3.642,3.476,4870.441
3225.875,9198.287,2.286,77.551,0.063,108.716,3.98,3.828,3.66,3.612,3.451,4847.124
3226,9232.221,2.308,76.83,0.105,108.316,3.933,3.839,3.662,3.593,3.456,4783.35
3226.125,9316.877,2.309,78.007,0.103,107.332,4.176,4.023,3.821,3.73,3.594,4598.97
3226.25,9384.103,2.295,79.969,0.05,106.563,4.449,4.405,4.151,4.01,3.885,4594.923
3226.375,9384.103,2.295,79.969,0.05,106.563,4.623,4.498,4.244,4.086,3.973,4594.923
3226.5,9280.183,2.287,81.621,0.011,107.757,4.65,4.495,4.257,4.093,3.991,4684.24
3226.625,9116.95,2.276,80.067,-0.027,109.686,4.446,4.358,4.154,4.003,3.908,4676.866
3226.75,8999.15,2.261,72.626,-0.065,111.122,6.316,5.515,5.243,4.988,4.884,4657.709
3226.875,8924.643,2.238,65.317,-0.1,112.049,5.753,5.556,5.31,5.054,4.951,4678.124
3227,8826.172,2.221,62.002,-0.104,113.299,6.849,6.899,6.507,6.131,5.954,4726.034
3227.125,8826.172,2.221,62.002,-0.104,113.299,8.168,8.469,7.893,7.37,7.101,4726.034
3227.25,8805.274,2.196,61.297,-0.13,113.568,9.577,10.418,9.575,8.858,8.45,4805.056
3227.375,8843.055,2.169,62.803,-0.169,113.083,9.722,10.433,9.564,8.862,8.435,4832.368
