date,OT,1,2,3,4,5,6,7,8
2016/7/29,68,4,13,0,16258,32.32,14.14,0.66,0
2016/7/30,124,4,22,0,27074,31.65,18.51,0.65,0
2016/7/31,133.17,4,24,0.83,30085,31.65,18.51,0.65,0.62
2016/8/1,133.22,4,24,0.78,30527,31.1,19.57,0.65,0.58
2016/8/2,126.52,4,24,0.48,30227,30.73,19.5,0.65,0.38
2016/8/3,124.52,4,24,0.48,30857,30.51,19.41,0.65,0.38
2016/8/4,124.62,4,24,0.38,31051,30.17,19.27,0.6,0.3
2016/8/5,125.56,4,24,0.44,30990,29.87,19.07,0.6,0.35
2016/8/6,43.87,4,9,0.13,11686,29.72,19.04,0.37,0.3
2016/8/7,19,3,13.5,0,6781,30,10,0.21,0
2016/8/8,44.66,3,24,0.34,12136,30,10,0.08,0.75
2016/8/9,78.86,4,23.75,0.14,21376,30,13,0.12,0.18
2016/8/10,85.29,4,24,0.71,22974,30,14,0.12,0.83
2016/8/11,87.81,4,24,0.19,22813,30,14,0.15,0.22
2016/8/12,100.78,4,23.75,0.22,28316,30,15,0.15,0.22
2016/8/13,102.77,4,24,0.23,28647,30,16,0.14,0.22
2016/8/14,101.78,4,24,0.22,27931,29,16,0.13,0.22
2016/8/15,101.78,4,24,0.22,28075,29,16,0.14,0.22
2016/8/16,99.8,4,24,0.2,27396,28,16,0.16,0.2
2016/8/17,97.8,4,24,0.2,26952,28,15,0.14,0.2
2016/8/18,96.81,4,24,0.19,26837,28,15,0.14,0.2
2016/8/19,95.81,4,24,0.19,27142,28,15,0.14,0.2
2016/8/20,96.81,4,24,0.19,27098,28,14,0.16,0.2
2016/8/21,93.81,4,24,0.19,26927,27,14,0.14,0.2
2016/8/22,94.81,4,24,0.19,27018,27,14,0.12,0.2
2016/8/23,93.81,4,24,0.19,27043,27,14,0.14,0.2
2016/8/24,93.81,4,24,0.19,27108,27,14,0.14,0.2
2016/8/25,91.82,4,24,0.18,26873,26,14,0.12,0.2
2016/8/26,91.95,4,24,0.05,26847,26,14,0.13,0.05
2016/8/27,90.95,4,24,0.05,26839,26,14,0.14,0.05
2016/8/28,91.95,4,24,0.05,26947,26,14,0.13,0.05
2016/8/29,90.95,4,24,0.05,26873,25,13,0.13,0.05
2016/8/30,89.95,4,24,0.05,25731,25,13,0.13,0.05
2016/8/31,89.84,4,24,0.16,25113,25,13,0.13,0.18
2016/9/1,88.84,4,24,0.16,25048,25,13,0.13,0.18
