date,OT,1,2,3,4,5,6,7
2011/8/31,17.27,4,24,1.73,9.1,13.2,26.5,11.3
2011/9/1,23.63,5,24,2.37,9.1,9.9,21.4,0.4
2011/9/2,23.63,5,24,2.37,9.1,9.9,20.4,0.4
2011/9/3,25.64,5,24,0.36,1.4,9.8,20.4,0.4
2011/9/4,24.62,5,24,0.38,1.5,9.8,20.4,0.4
2011/9/5,26.59,5,24,0.41,1.5,9.8,20.3,0.4
2011/9/6,26.59,5,24,0.41,1.5,9.8,20.4,0.4
2011/9/7,17.17,5,24,9.83,36.4,9.8,20.4,0.4
2011/9/8,16.77,5,24,10.23,37.9,9.8,20.3,0.4
2011/9/9,17.17,5,24,11.83,40.8,9.8,20.2,0.4
2011/9/10,14.66,5,24,11.34,43.6,8.8,20.2,0.4
2011/9/11,12.47,4,23.83,10.53,45.8,9,23,0.4
2011/9/12,9.99,4,24,9.01,47.4,10.8,24.5,0.4
2011/9/13,9.99,4,24,9.01,47.4,10.8,24.2,0.4
2011/9/14,11.73,4,24,10.27,46.7,10.8,24.2,0.4
2011/9/15,11.42,4,24,10.58,48.1,11,24,0.4
2011/9/16,10.34,4,24,9.66,48.3,10.8,24,0.4
2011/9/17,12.12,4,24,10.88,47.3,10.8,24,0.4
2011/9/18,11.68,4,24,11.32,49.2,10.8,24,0.4
2011/9/19,12.1,4,24,10.9,47.4,10.8,24,0.4
2011/9/20,11.59,4,24,11.41,49.6,10.8,24,0.4
2011/9/21,11.4,4,24,10.6,48.2,10.8,24,0.4
2011/9/22,11.13,4,24,9.87,47,10.4,24.2,0.3
2011/9/23,11.91,4,24,11.09,48.2,10.4,24.2,0.3
2011/9/24,11.59,4,24,10.41,47.3,10.4,24.2,0.3
2011/9/25,11.02,4,24,9.98,47.5,10.4,24.3,0.3
2011/9/26,12.49,4,24,10.51,45.7,10.4,24.3,0.3
2011/9/27,11.09,4,24,9.91,47.2,10.4,24.2,0.3
2011/9/28,11.55,4,24,10.45,47.5,10.4,24.2,0.3
2011/9/29,11.92,4,24,10.08,45.8,10.5,24.1,0.3
2011/9/30,11.91,4,24,11.09,48.2,10.2,24.2,0.3
2011/10/1,11.55,4,24,10.45,47.5,10.2,24.2,0.3
2011/10/2,11.02,4,24,9.98,47.5,10,24.1,0.3
2011/10/3,12.19,4,24,10.81,47,10.2,24.2,0.3
2011/10/4,11.05,4,24,9.95,47.4,10.2,24.2,0.3
2011/10/5,11.15,4,24,9.85,46.9,10.2,24.2,0.3
2011/10/6,11.05,4,24,9.95,47.4,10.2,24.2,0.3
2011/10/7,11.24,4,24,10.76,48.9,10,24.6,0.2
2011/10/8,10.92,4,24,10.08,48,10.2,24.6,0.2
2011/10/9,10.73,4,24,10.27,48.9,10,24.7,0.2
2011/10/10,11.35,4,24,10.65,48.4,10.1,24.7,0.2
2011/10/11,10.33,4,24,10.67,50.8,10,24.7,0.3
2011/10/12,9.74,4,24,11.26,53.6,10,24.8,0.3
2011/10/13,10.16,4,24,10.84,51.6,10,24.8,0.2
2011/10/14,10.79,4,23.67,12.21,53.1,10,25,0.2
2011/10/15,10.74,4,24,11.26,51.2,10,24.5,0.3
2011/10/16,11.04,4,24,10.96,49.8,10,24.5,0.3
2011/10/17,10.54,4,24,10.46,49.8,10,24.5,0.3
2011/10/18,10.54,4,24,10.46,49.8,10,24.8,3
2011/10/19,10.54,4,24,10.46,49.8,10,24.8,3
2011/10/20,10.1,4,24,10.9,51.9,10,24.8,0.2
2011/10/21,10.63,4,24,11.37,51.7,9.9,24.8,0.2
2011/10/22,10.82,4,24,11.18,50.8,9.9,24.8,0.3
2011/10/23,10.29,4,24,10.71,51,9.9,24.8,0.3
2011/10/24,10.58,4,24,11.42,51.9,9.9,24.8,0.3
2011/10/25,10.6,4,24,11.4,51.8,9.8,24.8,0.2
2011/10/26,10.67,4,24,11.33,51.5,9.8,24.8,0.2
2011/10/27,10.12,4,24,10.88,51.8,9.8,24.8,0.2
2011/10/28,10.31,4,24,10.69,50.9,9.8,24.9,0.2
2011/10/29,10.63,4,24,11.37,51.7,9.8,24.9,0.2
2011/10/30,10.16,4,24,10.84,51.6,9.8,24.9,0.2
2011/10/31,10.08,4,24,10.92,52,9.8,24.8,0.2
2011/11/1,10.6,4,24,11.4,51.8,9.7,24.8,0.3
2011/11/2,10.63,4,24,11.37,51.7,9.7,24.8,0.3
2011/11/3,9.54,4,24,10.46,52.3,9.7,24.8,0.3
2011/11/4,10.18,4,24,10.82,51.5,9.7,24.8,0.3
2011/11/5,10.6,4,24,11.4,51.8,9.7,24.8,0.3
2011/11/6,10.56,4,24,11.44,52,9.8,24.9,0.3
2011/11/7,9.29,4,24,9.71,51.1,9.8,24.9,0.3
2011/11/8,11.32,4,24,11.68,50.8,9.7,24.9,0.3
2011/11/9,10.71,4,24,11.29,51.3,9.7,24.9,0.3
2011/11/10,10.12,4,24,10.88,51.8,9.7,24.9,0.3
2011/11/11,9.12,4,24,9.88,52,9.8,24.9,0.3
2011/11/12,10.14,4,24,10.86,51.7,9.8,24.9,0.2
2011/11/13,10.54,4,24,11.46,52.1,9.6,24.9,0.2
2011/11/14,10.18,4,24,10.82,51.5,9.6,24.9,0.2
2011/11/15,9.64,4,24,10.36,51.8,9.8,24.7,0.2
2011/11/16,10.41,4,24,11.59,52.7,9.7,25,0.2
2011/11/17,9.48,4,24,10.52,52.6,9.7,25,0.2
2011/11/18,9.97,4,24,11.03,52.5,9.3,25,0.2
2011/11/19,9.42,4,24,10.58,52.9,9.7,25,0.2
2011/11/20,10.83,4,24,12.17,52.9,9.7,25,0.2
2011/11/21,9.97,4,24,11.03,52.5,9.8,25,0.2
2011/11/22,10.83,4,24,12.17,52.9,9.8,25.1,0.2
2011/11/23,10.38,4,24,11.62,52.8,9.7,25.1,0.2
2011/11/24,9.87,4,24,11.13,53,9.7,25,0.2
2011/11/25,10.83,4,24,12.17,52.9,9.7,25,0.2
2011/11/26,10.32,4,24,11.68,53.1,9.4,24.6,0.2
2011/11/27,9.87,4,24,11.13,53,9.7,24.7,0.2
2011/11/28,10.38,4,24,11.62,52.8,9.5,24.8,0.2
2011/11/29,9.81,4,24,11.19,53.3,9.6,24.9,0.3
2011/11/30,10.21,4,24,11.79,53.6,9.5,24.9,0.2
2011/12/1,10.72,4,24,12.28,53.4,9.6,25,0.2
2011/12/2,9.62,4,24,11.38,54.2,9.4,25,0.2
2011/12/3,9.51,4,24,11.49,54.7,9.6,25,0.2
2011/12/4,10.35,4,24,12.65,55,9.6,25,0.2
2011/12/5,9.81,4,24,12.19,55.4,9.6,25,0.2
2011/12/6,9.79,4,24,12.21,55.5,9.4,25,0.2
2011/12/7,9.43,4,24,11.57,55.1,9.5,25.1,0.3
2011/12/8,9.39,4,24,11.61,55.3,9.5,25.1,0.2
2011/12/9,9.45,4,24,11.55,55,9.5,25.1,0.3
2011/12/10,9.24,4,24,11.76,56,9.5,25.1,0.2
2011/12/11,9.09,4,24,11.91,56.7,9.5,25.1,0.2
2011/12/12,9.03,4,24,11.97,57,9.5,25.1,0.3
2011/12/13,9.39,4,24,12.61,57.3,9.5,25.1,0.2
2011/12/14,9.03,4,24,11.97,57,9.5,25.1,0.2
2011/12/15,9.48,4,24,12.52,56.9,9.5,25.1,0.2
2011/12/16,9.37,4,24,12.63,57.4,9.5,25.1,0.2
2011/12/17,9.16,4,24,11.84,56.4,9.4,25.2,0.3
2011/12/18,9.2,4,24,11.8,56.2,9.4,25.2,0.3
2011/12/19,8.68,4,24,11.32,56.6,9.4,25.2,0.3
2011/12/20,9.24,4,24,11.76,56,9.4,25.2,0.2
2011/12/21,9.07,4,24,11.93,56.8,9.4,25.2,0.2
2011/12/22,9.01,4,24,11.99,57.1,9.4,25.2,0.2
2011/12/23,8.92,4,23.75,12.08,57.5,9.4,25.2,0.2
2011/12/24,8.84,4,24,12.16,57.9,9.2,24.8,0.2
2011/12/25,8.97,4,24,12.03,57.3,9.3,25,0.3
2011/12/26,8.84,4,24,12.16,57.9,9.3,25,0.2
2011/12/27,9.17,4,24,12.83,58.3,9.3,25,0.2
2011/12/28,8.69,4,24,12.31,58.6,9.3,25.1,0.2
2011/12/29,8.74,4,24,12.26,58.4,9.3,25.1,0.2
2011/12/30,8.3,4,24,11.7,58.5,9.3,25.1,0.2
2011/12/31,8.71,4,24,12.29,58.5,9.3,25.1,0.2
2012/1/1,8.63,4,24,12.37,58.9,9.3,25.1,0.2
2012/1/2,8.67,4,24,12.33,58.7,9.3,25.1,0.2
2012/1/3,8.16,4,24,11.84,59.2,9.3,25.1,0.3
2012/1/4,8.63,4,24,12.37,58.9,9.2,25.1,0.3
2012/1/5,8.46,4,24,12.54,59.7,9.2,25.1,0.3
2012/1/6,8.91,4,24,13.09,59.5,9.2,25.2,0.3
2012/1/7,8.82,4,24,13.18,59.9,9.2,25.2,0.2
2012/1/8,8.5,4,24,12.5,59.5,9.2,25.2,0.2
2012/1/9,8.53,4,24,12.47,59.4,9.2,25.2,0.2
2012/1/10,8.82,4,24,13.18,59.9,9.2,25.2,0.3
2012/1/11,8.59,4,24,12.41,59.1,9.2,25.2,0.3
2012/1/12,8.89,4,24,13.11,59.6,9.2,25.2,0.3
2012/1/13,8.48,4,24,12.52,59.6,9.2,25.2,0.3
2012/1/14,8.44,4,24,12.56,59.8,9.2,25.2,0.3
2012/1/15,8,4,24,12,60,9.2,25.3,0.2
2012/1/16,8.4,4,24,12.6,60,9.2,25.3,0.3
2012/1/17,8.76,4,24,12.24,58.3,9.2,25.3,0.3
2012/1/18,8.59,4,24,12.41,59.1,9.2,25.2,0.2
2012/1/19,8,4,24,12,60,9.2,26,0.3
2012/1/20,8.57,4,24,12.43,59.2,9.6,25.4,0.3
2012/1/21,8.44,4,24,12.56,59.8,9,25.2,0.2
2012/1/22,8.57,4,24,12.43,59.2,9.1,25.2,0.2
2012/1/23,8.93,4,24,13.07,59.4,9.1,25.2,0.2
2012/1/24,8.46,4,24,12.54,59.7,9.1,25.2,0.2
2012/1/25,8.38,4,24,12.62,60.1,9.2,25.2,0.2
2012/1/26,8.71,4,24,13.29,60.4,9.2,25.2,0.2
2012/1/27,8.25,4,24,12.75,60.7,9.2,25.2,0.2
2012/1/28,8.29,4,24,12.71,60.5,9.2,25.2,0.2
2012/1/29,8.34,4,24,12.66,60.3,9.2,25.3,0.2
2012/1/30,8.67,4,24,13.33,60.6,9,25.3,0.2
2012/1/31,8.34,4,24,12.66,60.3,9,25.3,0.2
2012/2/1,8.21,4,24,12.79,60.9,9,25.3,0.2
2012/2/2,7.92,4,24,13.08,62.3,9.2,25.3,0.2
2012/2/3,7.98,4,24,13.02,62,9.1,25.3,0.2
2012/2/4,7.96,4,24,13.04,62.1,9,25.3,0.2
2012/2/5,7.75,4,24,13.25,63.1,9.1,25.3,0.2
2012/2/6,7.58,4,24,13.42,63.9,9,25.3,0.2
