date,OT,1,2,3,4,5
2011/8/31,17.27,24,1.73,13.2,26.5,11.3
2011/9/1,23.63,24,2.37,9.9,21.4,0.4
2011/9/2,23.63,24,2.37,9.9,20.4,0.4
2011/9/3,25.64,24,0.36,9.8,20.4,0.4
2011/9/4,24.62,24,0.38,9.8,20.4,0.4
2011/9/5,26.59,24,0.41,9.8,20.3,0.4
2011/9/6,26.59,24,0.41,9.8,20.4,0.4
2011/9/7,17.17,24,9.83,9.8,20.4,0.4
2011/9/8,16.77,24,10.23,9.8,20.3,0.4
2011/9/9,17.17,24,11.83,9.8,20.2,0.4
2011/9/10,14.66,24,11.34,8.8,20.2,0.4
2011/9/11,12.47,23.83,10.53,9,23,0.4
2011/9/12,9.99,24,9.01,10.8,24.5,0.4
2011/9/13,9.99,24,9.01,10.8,24.2,0.4
2011/9/14,11.73,24,10.27,10.8,24.2,0.4
2011/9/15,11.42,24,10.58,11,24,0.4
2011/9/16,10.34,24,9.66,10.8,24,0.4
2011/9/17,12.12,24,10.88,10.8,24,0.4
2011/9/18,11.68,24,11.32,10.8,24,0.4
2011/9/19,12.1,24,10.9,10.8,24,0.4
2011/9/20,11.59,24,11.41,10.8,24,0.4
2011/9/21,11.4,24,10.6,10.8,24,0.4
2011/9/22,11.13,24,9.87,10.4,24.2,0.3
2011/9/23,11.91,24,11.09,10.4,24.2,0.3
2011/9/24,11.59,24,10.41,10.4,24.2,0.3
2011/9/25,11.02,24,9.98,10.4,24.3,0.3
2011/9/26,12.49,24,10.51,10.4,24.3,0.3
2011/9/27,11.09,24,9.91,10.4,24.2,0.3
2011/9/28,11.55,24,10.45,10.4,24.2,0.3
2011/9/29,11.92,24,10.08,10.5,24.1,0.3
2011/9/30,11.91,24,11.09,10.2,24.2,0.3
2011/10/1,11.55,24,10.45,10.2,24.2,0.3
2011/10/2,11.02,24,9.98,10,24.1,0.3
2011/10/3,12.19,24,10.81,10.2,24.2,0.3
2011/10/4,11.05,24,9.95,10.2,24.2,0.3
2011/10/5,11.15,24,9.85,10.2,24.2,0.3
2011/10/6,11.05,24,9.95,10.2,24.2,0.3
2011/10/7,11.24,24,10.76,10,24.6,0.2
2011/10/8,10.92,24,10.08,10.2,24.6,0.2
2011/10/9,10.73,24,10.27,10,24.7,0.2
2011/10/10,11.35,24,10.65,10.1,24.7,0.2
2011/10/11,10.33,24,10.67,10,24.7,0.3
2011/10/12,9.74,24,11.26,10,24.8,0.3
2011/10/13,10.16,24,10.84,10,24.8,0.2
2011/10/14,10.79,23.67,12.21,10,25,0.2
2011/10/15,10.74,24,11.26,10,24.5,0.3
2011/10/16,11.04,24,10.96,10,24.5,0.3
2011/10/17,10.54,24,10.46,10,24.5,0.3
2011/10/18,10.54,24,10.46,10,24.8,3
2011/10/19,10.54,24,10.46,10,24.8,3
2011/10/20,10.1,24,10.9,10,24.8,0.2
2011/10/21,10.63,24,11.37,9.9,24.8,0.2
2011/10/22,10.82,24,11.18,9.9,24.8,0.3
2011/10/23,10.29,24,10.71,9.9,24.8,0.3
2011/10/24,10.58,24,11.42,9.9,24.8,0.3
2011/10/25,10.6,24,11.4,9.8,24.8,0.2
2011/10/26,10.67,24,11.33,9.8,24.8,0.2
2011/10/27,10.12,24,10.88,9.8,24.8,0.2
2011/10/28,10.31,24,10.69,9.8,24.9,0.2
2011/10/29,10.63,24,11.37,9.8,24.9,0.2
2011/10/30,10.16,24,10.84,9.8,24.9,0.2
2011/10/31,10.08,24,10.92,9.8,24.8,0.2
2011/11/1,10.6,24,11.4,9.7,24.8,0.3
2011/11/2,10.63,24,11.37,9.7,24.8,0.3
2011/11/3,9.54,24,10.46,9.7,24.8,0.3
2011/11/4,10.18,24,10.82,9.7,24.8,0.3
2011/11/5,10.6,24,11.4,9.7,24.8,0.3
2011/11/6,10.56,24,11.44,9.8,24.9,0.3
2011/11/7,9.29,24,9.71,9.8,24.9,0.3
2011/11/8,11.32,24,11.68,9.7,24.9,0.3
2011/11/9,10.71,24,11.29,9.7,24.9,0.3
2011/11/10,10.12,24,10.88,9.7,24.9,0.3
2011/11/11,9.12,24,9.88,9.8,24.9,0.3
2011/11/12,10.14,24,10.86,9.8,24.9,0.2
2011/11/13,10.54,24,11.46,9.6,24.9,0.2
2011/11/14,10.18,24,10.82,9.6,24.9,0.2
2011/11/15,9.64,24,10.36,9.8,24.7,0.2
2011/11/16,10.41,24,11.59,9.7,25,0.2
2011/11/17,9.48,24,10.52,9.7,25,0.2
2011/11/18,9.97,24,11.03,9.3,25,0.2
2011/11/19,9.42,24,10.58,9.7,25,0.2
2011/11/20,10.83,24,12.17,9.7,25,0.2
2011/11/21,9.97,24,11.03,9.8,25,0.2
2011/11/22,10.83,24,12.17,9.8,25.1,0.2
2011/11/23,10.38,24,11.62,9.7,25.1,0.2
2011/11/24,9.87,24,11.13,9.7,25,0.2
2011/11/25,10.83,24,12.17,9.7,25,0.2
2011/11/26,10.32,24,11.68,9.4,24.6,0.2
2011/11/27,9.87,24,11.13,9.7,24.7,0.2
2011/11/28,10.38,24,11.62,9.5,24.8,0.2
2011/11/29,9.81,24,11.19,9.6,24.9,0.3
2011/11/30,10.21,24,11.79,9.5,24.9,0.2
2011/12/1,10.72,24,12.28,9.6,25,0.2
2011/12/2,9.62,24,11.38,9.4,25,0.2
2011/12/3,9.51,24,11.49,9.6,25,0.2
2011/12/4,10.35,24,12.65,9.6,25,0.2
2011/12/5,9.81,24,12.19,9.6,25,0.2
2011/12/6,9.79,24,12.21,9.4,25,0.2
2011/12/7,9.43,24,11.57,9.5,25.1,0.3
2011/12/8,9.39,24,11.61,9.5,25.1,0.2
2011/12/9,9.45,24,11.55,9.5,25.1,0.3
2011/12/10,9.24,24,11.76,9.5,25.1,0.2
2011/12/11,9.09,24,11.91,9.5,25.1,0.2
2011/12/12,9.03,24,11.97,9.5,25.1,0.3
2011/12/13,9.39,24,12.61,9.5,25.1,0.2
2011/12/14,9.03,24,11.97,9.5,25.1,0.2
2011/12/15,9.48,24,12.52,9.5,25.1,0.2
2011/12/16,9.37,24,12.63,9.5,25.1,0.2
2011/12/17,9.16,24,11.84,9.4,25.2,0.3
2011/12/18,9.2,24,11.8,9.4,25.2,0.3
2011/12/19,8.68,24,11.32,9.4,25.2,0.3
2011/12/20,9.24,24,11.76,9.4,25.2,0.2
2011/12/21,9.07,24,11.93,9.4,25.2,0.2
2011/12/22,9.01,24,11.99,9.4,25.2,0.2
2011/12/23,8.92,23.75,12.08,9.4,25.2,0.2
2011/12/24,8.84,24,12.16,9.2,24.8,0.2
2011/12/25,8.97,24,12.03,9.3,25,0.3
2011/12/26,8.84,24,12.16,9.3,25,0.2
2011/12/27,9.17,24,12.83,9.3,25,0.2
2011/12/28,8.69,24,12.31,9.3,25.1,0.2
2011/12/29,8.74,24,12.26,9.3,25.1,0.2
2011/12/30,8.3,24,11.7,9.3,25.1,0.2
2011/12/31,8.71,24,12.29,9.3,25.1,0.2
2012/1/1,8.63,24,12.37,9.3,25.1,0.2
2012/1/2,8.67,24,12.33,9.3,25.1,0.2
2012/1/3,8.16,24,11.84,9.3,25.1,0.3
2012/1/4,8.63,24,12.37,9.2,25.1,0.3
2012/1/5,8.46,24,12.54,9.2,25.1,0.3
2012/1/6,8.91,24,13.09,9.2,25.2,0.3
2012/1/7,8.82,24,13.18,9.2,25.2,0.2
2012/1/8,8.5,24,12.5,9.2,25.2,0.2
2012/1/9,8.53,24,12.47,9.2,25.2,0.2
2012/1/10,8.82,24,13.18,9.2,25.2,0.3
2012/1/11,8.59,24,12.41,9.2,25.2,0.3
2012/1/12,8.89,24,13.11,9.2,25.2,0.3
2012/1/13,8.48,24,12.52,9.2,25.2,0.3
2012/1/14,8.44,24,12.56,9.2,25.2,0.3
2012/1/15,8,24,12,9.2,25.3,0.2
2012/1/16,8.4,24,12.6,9.2,25.3,0.3
2012/1/17,8.76,24,12.24,9.2,25.3,0.3
2012/1/18,8.59,24,12.41,9.2,25.2,0.2
2012/1/19,8,24,12,9.2,26,0.3
2012/1/20,8.57,24,12.43,9.6,25.4,0.3
2012/1/21,8.44,24,12.56,9,25.2,0.2
2012/1/22,8.57,24,12.43,9.1,25.2,0.2
2012/1/23,8.93,24,13.07,9.1,25.2,0.2
2012/1/24,8.46,24,12.54,9.1,25.2,0.2
2012/1/25,8.38,24,12.62,9.2,25.2,0.2
2012/1/26,8.71,24,13.29,9.2,25.2,0.2
2012/1/27,8.25,24,12.75,9.2,25.2,0.2
2012/1/28,8.29,24,12.71,9.2,25.2,0.2
