date,OT,1,2,3,4,5,6
2009/6/29,38,50,84.23,29.75,12.09,500110,24
2009/6/30,38,50,84.23,29.75,12.09,500110,24
2009/7/1,41,50,84.28,32,12.22,547296,24
2009/7/2,41,50,84.29,32.39,12.39,547296,24
2009/7/3,41,50,86.15,32.95,12.09,547296,24
2009/7/4,41,50,84.33,33.34,12.41,547296,24
2009/7/5,41,50,84.36,33.56,12.41,547296,24
2009/7/6,41,50,84.34,33.85,13.01,547296,24
2009/7/7,44,54,83.45,34.64,13.14,587296,23.72
2009/7/8,44,54,83.4,35,12.46,587296,24
2009/7/9,44,54,83.44,35.17,12.46,587296,24
2009/7/10,44,54,83.5,35.16,13.17,587296,24
2009/7/11,44,54,83.53,35.31,12.33,587296,24
2009/7/12,46,54,83.56,35.43,12.33,612531,24
2009/7/13,46,54,83.58,35.6,12.33,612531,24
2009/7/14,46,54,83.57,35.56,12.96,612531,24
2009/7/15,46,54,83.55,35.68,12.96,612531,24
2009/7/16,46,54,83.56,35.72,12.35,612531,24
2009/7/17,49,62,81.21,37.76,13.38,650000,24
2009/7/18,59,62,81.13,38.11,12.47,780000,24
2009/7/19,59,62,81.11,38.14,12.57,780000,24
2009/7/20,59,62,81.19,38.09,12.28,780000,24
2009/7/21,59,62,81.19,37.98,12.6,780000,24
2009/7/22,63,62,81.28,37.9,13.32,758225,23.33
2009/7/23,64,62,81.22,37.91,12.72,767954,24
2009/7/24,61,62,81.24,37.65,12.28,728490,22.77
2009/7/25,64,62,81.13,37.5,12.28,767954,24
2009/7/26,64,62,81.08,37.26,12.19,767954,24
2009/7/27,64,62,81.09,37.16,12.29,767954,24
2009/7/28,64,62,81.05,36.93,12.29,767954,24
2009/7/29,58,58,82,36.1,12.14,703371,24
2009/7/30,58,58,81.94,35.84,12.1,694271,24
2009/7/31,58,58,81.94,35.7,12.06,694271,24
2009/8/1,43,45,81.94,35.7,12.06,518880,24
2009/8/2,37,45,85.5,30.74,11.64,448432,24
2009/8/3,37,45,85.45,30.35,11.65,448432,24
2009/8/4,37,45,85.4,30.12,11.83,448432,24
2009/8/5,37,45,85.4,29.95,11.83,448432,24
2009/8/6,37,45,85.41,29.8,11.86,448432,24
2009/8/7,37,45,85.41,29.6,11.83,448432,24
2009/8/8,37,45,85.4,29.47,11.83,448432,24
2009/8/9,49,53,83.3,32.63,11.93,583447,24
2009/8/10,53,53,83.19,33.14,11.95,640000,24
2009/8/11,53,53,83.19,33.04,11.95,640000,24
2009/8/12,53,53,83.18,32.88,11.95,640000,24
2009/8/13,53,53,83.23,32.75,11.84,640000,24
2009/8/14,53,53,83.22,32.62,11.86,640000,24
2009/8/15,53,53,83.18,32.59,11.88,640000,24
2009/8/16,53,53,83.19,32.47,11.87,640000,24
2009/8/17,53,53,83.17,32.35,11.88,640000,24
2009/8/18,53,53,83.17,31.63,11.87,640000,24
2009/8/19,53,53,83.17,31.07,11.87,640000,24
2009/8/20,53,53,83.17,30.57,11.87,638790,24
2009/8/21,53,53,83.14,30.06,11.87,638790,24
2009/8/22,53,53,83.17,29.55,11.87,638790,24
2009/8/23,53,53,83.15,29.1,11.87,638790,24
2009/8/24,53,53,83.12,28.69,11.88,638790,24
2009/8/25,53,53,83.1,28.22,11.88,638790,24
