date,AC,SP,GR,OT
1517.375,254.1929134,40.222,72.121,15.2
1517.75,254.5505249,39.8,77.102,9.1
1518.5,265.062336,41.333,106.113,14.4
1518.875,267.4967192,42.667,99.116,13.1
1519,266.7913386,42.889,94.567,14.2
1519.125,266.0892388,42.667,92.067,14.6
1519.25,263.9796588,42.667,89.156,12.7
1519.75,249.2093176,42.667,82.723,11.7
1520.25,249.2093176,43.333,80.674,10.4
1521,273.8254593,42.222,81.434,8
1521.75,262.1062992,41.556,77.814,5.3
1522.375,271.4698163,41.556,90.781,8.8
1525.5,259.4094488,41.333,77.953,10.4
1525.875,260.4625984,40,75.871,12.1
1526,269.1502625,39.8,78.113,13.4
1526.375,297.3884514,39.8,86.167,16.8
1526.5,304.7703412,40.222,89.45,14.1
1526.75,303.7139108,40.667,91.447,17.7
1528.125,263.2972441,41.333,80.546,12
1528.25,259.261811,40.889,77.791,13.8
1528.375,255.2296588,40.444,74.902,14.6
1528.5,251.3188976,40,71.884,15
1528.625,250.6167979,39.8,71.596,18.7
1528.875,253.4284777,39,77.088,13.2
1529,261.6929134,38,79.795,18.1
1529.5,276.1515748,35,78.897,19.8
1529.875,280.8595801,34.4,73.803,23
1530,278.2086614,35,72.405,19.2
1530.625,261.2237533,38.6,80.862,16.3
1530.75,259.0748031,39.2,81.636,18
1530.875,257.6509186,39.8,83.9,5.7
1531.875,261.2106299,40,81.154,11.5
1532.25,262.2440945,37.8,73.856,17.7
1532.375,266.0990814,36.8,71.269,14.1
1532.625,269.9573491,36.4,69.52,22.5
1532.75,270.308399,36,70.132,18.5
1533,264.3307087,37,74.043,14.1
1533.25,261.5190289,38,77.873,15.6
1533.625,262.5721785,39.6,80.759,18.8
1533.75,263.9796588,39.4,80.418,16.3
1534.25,278.3956693,38.2,87.976,20.8
1534.375,281.9127297,37.8,88.917,22.3
1534.5,285.42979,37.6,89.567,21.7
1534.625,286.4829396,37.6,90.107,22.2
1535.375,264.9114173,38.6,79.686,7.8
1535.625,258.7040682,37.2,74.19,12.7
1535.75,261.9652231,36.6,74.276,19.2
1535.875,269.2552493,36.4,74.875,17.7
1536,278.0446194,36.4,77.741,21.2
1536.125,283.6712598,36.8,81.17,21.1
1536.25,288.5958005,37.8,86.604,22.6
1537.375,263.7631234,39.8,85.732,16.4
1537.5,255.5413386,40,84.479,14.5
1537.625,255.5413386,39.8,84.281,14.1
1538,268.1988189,40,88.365,12.4
1538.125,277.0505249,40,90.545,13.8
1539.375,312.417979,38.6,88.424,18
1539.5,292.1095801,37.8,74.807,18.1
1539.625,271.8044619,37.6,69.417,18.7
1539.75,256.7716535,37.8,67.788,4.9
1540.125,242.0013123,39.2,79.363,13.8
1541.375,257.4737533,39.6,73.056,13.3
1541.625,254.1338583,39.4,69.819,12.7
1541.75,253.4284777,39.2,68.587,16.5
1542.125,254.1338583,39.2,67.438,14.8
1542.5,251.6732283,40.222,75.94,11.2
1543.5,301.6043307,39.8,82.018,19.7
